Gene	Ensembl	"Gene description"	Uniprot	Evidence	"Secretome location"	"Secretome function"	"Blood expression cluster"	"Tissue expression cluster"	"Tissue RNA - skeletal muscle [nTPM]"	"Single Cell Type RNA - Erythrocyte progenitors [nCPM]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Cell type protein - Capillaries [Intensity]"	"Cell type protein - Skeletal myofibers [Intensity]"	"Tissue Annotation (IH) - skeletal muscle"	"Tissue Cell type Annotation (IH) - skeletal muscle - myocytes"
IPO13	ENSG00000117408	"Importin 13"	O94829	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 25: Non-specific - Basic cellular processes"	121.1	8.9	2.1	718119.9	429848.7	"not detected"	"not detected"
IPO4	ENSG00000196497	"Importin 4"	Q8TEX9	"Evidence at protein level"			"Cluster 30: Non-specific - DNA binding"	"Cluster 21: Testis - Mixed function"	28.8	0.0	0.0	2234689.0	2218104.0		
IPO5	ENSG00000065150	"Importin 5"	O00410	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 61: Non-specific - Transcription"	126.6	148.6	5.0	7137654.8	20758558.1	"not detected"	"not detected"
IPO7	ENSG00000205339	"Importin 7"	O95373	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 63: Non-specific - Basic cellular processes"	103.8	182.2	8.4	18334388.8	22557851.9	"not detected"	"not detected"
IPO8	ENSG00000133704	"Importin 8"	O15397	"Evidence at protein level"			"Cluster 46: Basophils - Proteolysis"	"Cluster 69: Parathyroid gland - Mixed function"	17.9	35.7	6.2	1162327.5		low	low
IPO9	ENSG00000198700	"Importin 9"	Q96P70	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 64: Non-specific - Transcription"	13.2	113.8	9.2	3370440.3	477912.2		
IPP	ENSG00000197429	"Intracisternal A particle-promoted polypeptide"	Q9Y573	"Evidence at protein level"			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 61: Non-specific - Transcription"	13.4	15.7	1.5			high	high
IPPK	ENSG00000127080	"Inositol-pentakisphosphate 2-kinase"	Q9H8X2	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 81: Squamous epithelium - Keratinization"	7.2	12.3	6.0			low	low
IQCB1	ENSG00000173226	"IQ motif containing B1"	Q15051	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 39: Testis - Nuclear processes"	10.9	108.9	3.3			"not detected"	"not detected"
IQCC	ENSG00000160051	"IQ motif containing C"	Q4KMZ1	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 21: Testis - Mixed function"	1.5	4.3	0.0			medium	medium
IQCE	ENSG00000106012	"IQ motif containing E"	Q6IPM2	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 21: Testis - Mixed function"	4.7	13.6	0.2			"not detected"	"not detected"
IQCG	ENSG00000114473	"IQ motif containing G"	Q9H095	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 48: Ciliated tissues - Cilium organization"	1.8	26.5	19.8			"not detected"	"not detected"
IQCJ-SCHIP1	ENSG00000283154	"IQCJ-SCHIP1 readthrough"	B3KU38	"Evidence at protein level"				"Cluster 3: Oligodendrocytes - Myelination"	28.6	0.5	0.0			medium	medium
IQCK	ENSG00000174628	"IQ motif containing K"	Q8N0W5	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 48: Ciliated tissues - Cilium organization"	2.9	3.6	0.0			low	low
IQCN	ENSG00000130518	"IQ motif containing N"	Q9H0B3	"Evidence at protein level"			"Cluster 20: Non-specific - DNA binding"	"Cluster 56: Ciliated tissues - Cilium organization"	1.3	1.1	0.0			"not detected"	"not detected"
IQGAP1	ENSG00000140575	"IQ motif containing GTPase activating protein 1"	P46940	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 13: Lung - Secretion"	14.7	36.2	12.2	71171142.7	3609345.2	"not detected"	"not detected"
IQSEC1	ENSG00000144711	"IQ motif and Sec7 domain ArfGEF 1"	Q6DN90	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 46: Brain & retina - Neuronal signaling"	32.6	109.0	26.0	1092097.1		high	high
IQSEC2	ENSG00000124313	"IQ motif and Sec7 domain ArfGEF 2"	Q5JU85	"Evidence at protein level"			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 19: Skeletal muscle - Striated muscle contraction"	57.4	0.0	0.0				
IQSEC3	ENSG00000120645	"IQ motif and Sec7 domain ArfGEF 3"	Q9UPP2	"Evidence at protein level"				"Cluster 27: Cerebellum - Synaptic function"	1.0	2.5	0.0				
IRAG1	ENSG00000072952	"Inositol 1,4,5-triphosphate receptor associated 1"	Q9Y6F6	"Evidence at protein level"			"Cluster 28: Neutrophils - Unknown function"	"Cluster 74: Non-specific - Signal transduction"	6.4	0.0	0.1			medium	medium
IRAG2	ENSG00000118308	"Inositol 1,4,5-triphosphate receptor associated 2"	Q12912	"Evidence at protein level"			"Cluster 20: Non-specific - DNA binding"	"Cluster 51: Lymphoid tissue - Adaptive immune response"	1.0	12.0	3.7			"not detected"	"not detected"
IRAK1	ENSG00000184216	"Interleukin 1 receptor associated kinase 1"	P51617	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 24: Non-specific - Transcription"	88.5	20.4	7.9			"not detected"	"not detected"
IRAK1BP1	ENSG00000146243	"Interleukin 1 receptor associated kinase 1 binding protein 1"	Q5VVH5	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 61: Non-specific - Transcription"	1.1	34.5	1.9				
IRAK2	ENSG00000134070	"Interleukin 1 receptor associated kinase 2"	O43187	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 63: Non-specific - Basic cellular processes"	16.3	0.2	0.0			low	low
IRAK3	ENSG00000090376	"Interleukin 1 receptor associated kinase 3"	Q9Y616	"Evidence at protein level"			"Cluster 40: Monocytes - Innate immune response"	"Cluster 29: Lymphoid tissue & Bone marrow - Innate immune response"	2.5	36.2	21.3			low	low
IRAK4	ENSG00000198001	"Interleukin 1 receptor associated kinase 4"	Q9NWZ3	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 66: Lymphoid tissue - Immune response"	2.8	22.7	3.4	1792470.6		high	high
IREB2	ENSG00000136381	"Iron responsive element binding protein 2"	P48200	"Evidence at protein level"			"Cluster 30: Non-specific - DNA binding"	"Cluster 4: Adrenal gland - Steroid metabolism"	17.6	75.9	6.2		196568.2	low	low
IRF1	ENSG00000125347	"Interferon regulatory factor 1"	P10914	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 66: Lymphoid tissue - Immune response"	13.3	11.7	5.9			medium	medium
IRF2	ENSG00000168310	"Interferon regulatory factor 2"	P14316	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 66: Lymphoid tissue - Immune response"	23.7	39.3	23.6			medium	medium
IRF2BP1	ENSG00000170604	"Interferon regulatory factor 2 binding protein 1"	Q8IU81	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 24: Non-specific - Transcription"	21.4	6.2	0.1	2850730.7		medium	medium
IRF2BP2	ENSG00000168264	"Interferon regulatory factor 2 binding protein 2"	Q7Z5L9	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 15: Bone marrow - Innate immune response"	43.2	98.9	35.0	2271709.4		medium	medium
IRF2BPL	ENSG00000119669	"Interferon regulatory factor 2 binding protein like"	Q9H1B7	"Evidence at protein level"			"Cluster 30: Non-specific - DNA binding"	"Cluster 74: Non-specific - Signal transduction"	16.0	2.0	2.0	3866534.9	88091.5	medium	medium
IRF3	ENSG00000126456	"Interferon regulatory factor 3"	Q14653	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 68: Non-specific - Basic cellular processes"	17.2	22.0	14.2	1239560.7		"not detected"	"not detected"
IRF7	ENSG00000185507	"Interferon regulatory factor 7"	Q92985	"Evidence at protein level"			"Cluster 44: Plasmacytoid DCs - Plasma membrane proteins"	"Cluster 70: Non-specific - Protein processing"	11.4	0.6	0.2			medium	medium
IRF9	ENSG00000213928	"Interferon regulatory factor 9"	Q00978	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 5: Spleen - Immune response"	9.7	0.0	0.0	2088299.0		"not detected"	"not detected"
IRGQ	ENSG00000167378	"Immunity related GTPase Q"	Q8WZA9	"Evidence at protein level"			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 64: Non-specific - Transcription"	8.1	1.1	3.0	496252.0	2291710.6	high	high
IRS1	ENSG00000169047	"Insulin receptor substrate 1"	P35568	"Evidence at protein level"				"Cluster 75: Ovary - Mixed function"	26.2	1.3	0.0	506525.3		low	low
IRS2	ENSG00000185950	"Insulin receptor substrate 2"	Q9Y4H2	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 68: Non-specific - Basic cellular processes"	20.1	25.6	30.9			low	low
IRX3	ENSG00000177508	"Iroquois homeobox 3"	P78415	"Evidence at protein level"				"Cluster 58: Skin - Keratinization"	21.3	0.0	0.1				
IRX5	ENSG00000176842	"Iroquois homeobox 5"	P78411	"Evidence at protein level"				"Cluster 58: Skin - Keratinization"	1.4	0.0	0.0				
IRX6	ENSG00000159387	"Iroquois homeobox 6"	P78412	"Evidence at protein level"				"Cluster 58: Skin - Keratinization"	3.2	0.0	0.0				
ISCA1	ENSG00000135070	"Iron-sulfur cluster assembly 1"	Q9BUE6	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 25: Non-specific - Basic cellular processes"	85.7	94.7	192.3	527177.8	96957.3	"not detected"	"not detected"
ISCA2	ENSG00000165898	"Iron-sulfur cluster assembly 2"	Q86U28	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 25: Non-specific - Basic cellular processes"	35.9	51.4	6.2	9480507.8	2029939.3	medium	medium
ISCU	ENSG00000136003	"Iron-sulfur cluster assembly enzyme"	Q9H1K1	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 52: Non-specific - Cellular respiration"	413.8	43.3	85.4	1743436.4		high	high
ISG15	ENSG00000187608	"ISG15 ubiquitin like modifier"	P05161	"Evidence at protein level"	"Secreted to blood"	Immunity	"Cluster 19: Eosinophils - Unknown function"	"Cluster 68: Non-specific - Basic cellular processes"	17.8	6.5	1.2	1927389.9		"not detected"	"not detected"
ISG20	ENSG00000172183	"Interferon stimulated exonuclease gene 20"	Q96AZ6	"Evidence at protein level"			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 66: Lymphoid tissue - Immune response"	4.8	6.0	25.8				
ISG20L2	ENSG00000143319	"Interferon stimulated exonuclease gene 20 like 2"	Q9H9L3	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 39: Testis - Nuclear processes"	8.7	29.8	1.7			low	low
ISLR	ENSG00000129009	"Immunoglobulin superfamily containing leucine rich repeat"	O14498	"Evidence at protein level"	"Secreted - unknown location"	"No annotated function"		"Cluster 75: Ovary - Mixed function"	18.1	0.0	0.0			medium	medium
ISLR2	ENSG00000167178	"Immunoglobulin superfamily containing leucine rich repeat 2"	Q6UXK2	"Evidence at protein level"				"Cluster 73: Brain - Neuronal signaling"	1.9	0.0	0.0				
ISM1	ENSG00000101230	"Isthmin 1"	B1AKI9	"Evidence at protein level"	"Secreted in other tissues"	"No annotated function"		"Cluster 14: Adipose tissue - Angiogenesis"	1.2	0.0	0.0				
ISOC1	ENSG00000066583	"Isochorismatase domain containing 1"	Q96CN7	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 45: Liver - Metabolism & Coagulation"	16.0	34.5	4.5	37306011.0	9449662.0		
ISOC2	ENSG00000063241	"Isochorismatase domain containing 2"	Q96AB3	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 31: Liver - Metabolism & Coagulation"	89.7	64.7	4.6	8492437.3	14241490.5	medium	medium
IST1	ENSG00000182149	"IST1 factor associated with ESCRT-III"	P53990	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 63: Non-specific - Basic cellular processes"	58.8	89.0	9.9	3374012.0	2500127.6	medium	medium
ISY1	ENSG00000240682	"ISY1 splicing factor homolog"	Q9ULR0	"Evidence at protein level"			"Cluster 41: Basophils - Unknown function"	"Cluster 63: Non-specific - Basic cellular processes"	32.7	4.1	0.0	455847.6		high	high
ISY1-RAB43	ENSG00000261796	"ISY1-RAB43 readthrough"		"Evidence at protein level"			"Cluster 11: T-cells - Unknown function"	"Cluster 49: Non-specific - Transcription"	3.6	0.3	0.0			high	high
ISYNA1	ENSG00000105655	"Inositol-3-phosphate synthase 1"	Q9NPH2	"Evidence at protein level"			"Cluster 27: T-cells - Unknown function"	"Cluster 56: Ciliated tissues - Cilium organization"	12.7	12.8	0.0	2149688.7	1274959.1	"not detected"	"not detected"
ITCH	ENSG00000078747	"Itchy E3 ubiquitin protein ligase"	Q96J02	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 45: Liver - Metabolism & Coagulation"	16.3	0.2	0.0	4191250.5		high	high
ITFG1	ENSG00000129636	"Integrin alpha FG-GAP repeat containing 1"	Q8TB96	"Evidence at protein level"	"Intracellular and membrane"	"No annotated function"	"Cluster 42: Non-specific - Vesicular transport"	"Cluster 73: Brain - Neuronal signaling"	22.4	218.5	8.0	2855831.7		medium	medium
ITFG2	ENSG00000111203	"Integrin alpha FG-GAP repeat containing 2"	Q969R8	"Evidence at protein level"			"Cluster 14: Non-specific - Unknown function"	"Cluster 54: Non-specific - Ribosome"	7.6	54.2	2.0			high	high
ITGA1	ENSG00000213949	"Integrin subunit alpha 1"	P56199	"Evidence at protein level"				"Cluster 12: Smooth muscle tissue - ECM organization"	2.4	1.1	0.2	21107354.9	326074.1	low	low
ITGA10	ENSG00000143127	"Integrin subunit alpha 10"	O75578	"Evidence at protein level"				"Cluster 12: Smooth muscle tissue - ECM organization"	13.0	0.7	0.0				
ITGA11	ENSG00000137809	"Integrin subunit alpha 11"	Q9UKX5	"Evidence at protein level"				"Cluster 12: Smooth muscle tissue - ECM organization"	1.4	0.1	0.0			high	high
ITGA3	ENSG00000005884	"Integrin subunit alpha 3"	P26006	"Evidence at protein level"				"Cluster 14: Adipose tissue - Angiogenesis"	8.6	0.2	0.0	473238.4		low	low
ITGA5	ENSG00000161638	"Integrin subunit alpha 5"	P08648	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 12: Smooth muscle tissue - ECM organization"	27.8	1.1	0.2	1582893.3		"not detected"	"not detected"
ITGA6	ENSG00000091409	"Integrin subunit alpha 6"	P23229	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 60: Stomach - Digestion"	25.2	1.8	0.2	26993544.8	503244.6	"not detected"	"not detected"
ITGA7	ENSG00000135424	"Integrin subunit alpha 7"	Q13683	"Evidence at protein level"				"Cluster 41: Striated muscle - Muscle contraction"	135.6	0.6	0.1	27479996.7	4565528.1	low	low
ITGA8	ENSG00000077943	"Integrin subunit alpha 8"	P53708	"Evidence at protein level"				"Cluster 12: Smooth muscle tissue - ECM organization"	2.7	0.0	0.0			"not detected"	"not detected"
ITGA9	ENSG00000144668	"Integrin subunit alpha 9"	Q13797	"Evidence at protein level"	"Intracellular and membrane"	Receptor		"Cluster 35: Non-specific - Mixed function"	2.6	20.0	0.4	57920.7		"not detected"	"not detected"
ITGAD	ENSG00000156886	"Integrin subunit alpha D"	Q13349	"Evidence at protein level"			"Cluster 15: NK-cells - Unknown function"	"Cluster 66: Lymphoid tissue - Immune response"	1.4	0.0	0.2				
ITGAM	ENSG00000169896	"Integrin subunit alpha M"	P11215	"Evidence at protein level"			"Cluster 41: Basophils - Unknown function"	"Cluster 15: Bone marrow - Innate immune response"	1.3	0.1	13.5	347480.7		"not detected"	"not detected"
ITGAV	ENSG00000138448	"Integrin subunit alpha V"	P06756	"Evidence at protein level"			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 35: Non-specific - Mixed function"	15.4	10.4	3.0	2694901.4	1203164.0	"not detected"	"not detected"
ITGAX	ENSG00000140678	"Integrin subunit alpha X"	P20702	"Evidence at protein level"			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 66: Lymphoid tissue - Immune response"	1.2	0.0	1.1			"not detected"	"not detected"
ITGB1	ENSG00000150093	"Integrin subunit beta 1"	P05556	"Evidence at protein level"			"Cluster 16: Non-specific - Cell proliferation"	"Cluster 12: Smooth muscle tissue - ECM organization"	136.0	261.8	9.9	74822887.6	4849343.9	"not detected"	"not detected"
ITGB1BP1	ENSG00000119185	"Integrin subunit beta 1 binding protein 1"	O14713	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 14: Adipose tissue - Angiogenesis"	28.0	48.9	7.6				
ITGB1BP2	ENSG00000147166	"Integrin subunit beta 1 binding protein 2"	Q9UKP3	"Evidence at protein level"				"Cluster 41: Striated muscle - Muscle contraction"	43.2	0.3	0.0	1625140.6	6863439.6		
ITGB2	ENSG00000160255	"Integrin subunit beta 2"	P05107	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 29: Lymphoid tissue & Bone marrow - Innate immune response"	6.2	1.1	10.1	973098.5		"not detected"	"not detected"
ITGB3	ENSG00000259207	"Integrin subunit beta 3"	P05106	"Evidence at protein level"	"Intracellular and membrane"	Receptor	"Cluster 35: Neutrophils - Protein binding"	"Cluster 12: Smooth muscle tissue - ECM organization"	1.7	0.0	0.3	2733460.5		"not detected"	"not detected"
ITGB3BP	ENSG00000142856	"Integrin subunit beta 3 binding protein"	Q13352	"Evidence at protein level"			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 61: Non-specific - Transcription"	2.3	81.3	1.7			low	low
ITGB4	ENSG00000132470	"Integrin subunit beta 4"	P16144	"Evidence at protein level"			"Cluster 30: Non-specific - DNA binding"	"Cluster 2: Non-specific - Mixed function"	6.8	1.0	0.0	4896523.9		low	low
ITGB5	ENSG00000082781	"Integrin subunit beta 5"	P18084	"Evidence at protein level"			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 12: Smooth muscle tissue - ECM organization"	28.2	0.1	0.6	573325.7		low	low
ITGB6	ENSG00000115221	"Integrin subunit beta 6"	P18564	"Evidence at protein level"				"Cluster 30: Skeletal muscle - Striated muscle contraction"	74.9	0.0	0.0			low	low
ITGBL1	ENSG00000198542	"Integrin subunit beta like 1"	O95965	"Evidence at protein level"	"Secreted - unknown location"	"No annotated function"		"Cluster 12: Smooth muscle tissue - ECM organization"	4.2	5.2	0.0				
ITIH4	ENSG00000055955	"Inter-alpha-trypsin inhibitor heavy chain 4"	Q14624	"Evidence at protein level"	"Secreted to blood"	"Acute phase"		"Cluster 53: Liver - Plasma proteins"	39.5	0.0	0.0	26189689.8	8638772.4	"not detected"	"not detected"
ITIH5	ENSG00000123243	"Inter-alpha-trypsin inhibitor heavy chain 5"		"Evidence at protein level"	"Secreted to blood"			"Cluster 14: Adipose tissue - Angiogenesis"	16.7	0.4	0.0			high	high
ITIH6	ENSG00000102313	"Inter-alpha-trypsin inhibitor heavy chain family member 6"	Q6UXX5	"Evidence at protein level"	"Secreted to blood"	"Enzyme inhibitor"		"Cluster 19: Skeletal muscle - Striated muscle contraction"	1.4	0.0	0.0				
ITM2A	ENSG00000078596	"Integral membrane protein 2A"	O43736	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 80: Thymus - Adaptive immune response"	38.6	22.1	0.5	34599.3			
ITM2B	ENSG00000136156	"Integral membrane protein 2B"	Q9Y287	"Evidence at protein level"	"Secreted to blood"	"No annotated function"	"Cluster 21: Neutrophils - Unknown function"	"Cluster 72: Kidney - Transmembrane transport"	154.4	128.0	69.6	831587.6	21531.1	"not detected"	"not detected"
